Time, Epoch, DiscriminatorLoss, DiscriminatorAcc, DiscriminatorOpAcc, GeneratorLoss
4114.018, 4230, 0.416696, 54.69, 50.00, 0.838251
4123.472, 4240, 0.352605, 65.62, 50.00, 1.111748
4132.908, 4250, 0.442127, 43.75, 50.00, 0.960029
4142.317, 4260, 0.396547, 60.94, 50.00, 0.969972
4151.793, 4270, 0.376621, 60.94, 50.00, 0.926502
4161.334, 4280, 0.376432, 64.06, 50.00, 0.979586
4170.736, 4290, 0.372957, 64.06, 50.00, 1.022738
4180.151, 4300, 0.372426, 53.12, 50.00, 1.102852
4189.642, 4310, 0.365354, 65.62, 51.56, 0.930425
4199.046, 4320, 0.372025, 68.75, 50.00, 1.068007
4208.424, 4330, 0.381778, 62.50, 50.00, 1.081843
4217.943, 4340, 0.391171, 64.06, 50.00, 1.075853
4227.367, 4350, 0.386380, 59.38, 50.00, 1.112951
4236.753, 4360, 0.349591, 64.06, 50.00, 0.976982
4246.239, 4370, 0.405393, 57.81, 50.00, 0.908845
4255.698, 4380, 0.355360, 70.31, 50.00, 1.051703
4265.099, 4390, 0.409543, 48.44, 50.00, 1.094609
4274.620, 4400, 0.441694, 50.00, 50.00, 0.888443
4284.474, 4410, 0.389306, 56.25, 50.00, 0.935097
4293.892, 4420, 0.374589, 60.94, 50.00, 1.180794
4303.382, 4430, 0.405438, 53.12, 48.44, 0.912663
4312.821, 4440, 0.358738, 71.88, 50.00, 1.114573
4322.245, 4450, 0.350598, 70.31, 50.00, 0.872103
4331.617, 4460, 0.384288, 64.06, 50.00, 1.031389
